2000.0,1539,22
3900.0,3327,60
2100.0,1933,24
2850.0,2239,39
2250.0,1939,27
2250.0,1636,27
3200.0,2633,46
2650.0,2028,35
2900.0,2232,40
4600.0,4038,74
2550.0,1939,33
2250.0,1938,27
2150.0,1728,25
2000.0,1637,22
1950.0,1427,21
2800.0,2134,38
3100.0,2437,44
2550.0,2239,33
4350.0,3430,69
2750.0,2340,37
1900.0,1433,20
2700.0,2136,36
1950.0,1429,21
3850.0,3337,59
4350.0,3438,69
2700.0,2138,36
1750.0,1234,17
1900.0,1432,20
2950.0,2237,41
1900.0,1439,20
1700.0,1239,16
2700.0,2133,36
2700.0,2137,36
2850.0,2135,39
2000.0,1438,22
2200.0,1930,26
2600.0,2039,34
2600.0,2035,34
3100.0,2537,44
2000.0,1438,22
3150.0,2431,45
2600.0,2031,34
3300.0,2835,48
2500.0,2130,32
1650.0,1234,15
2750.0,2328,37
3350.0,2738,49
1700.0,1228,16
2200.0,1733,26
2500.0,1837,32
1750.0,1334,17
2250.0,1725,27
1900.0,1436,20
3900.0,3134,60
1700.0,1327,16
2300.0,1735,28
4250.0,3538,67
1900.0,1536,20
2750.0,2237,37
3850.0,3234,59
3900.0,3134,60
3700.0,3233,56
2350.0,1726,29
3500.0,3037,52
2550.0,1932,33
2100.0,1535,24
2050.0,1735,23
2400.0,1837,30
1950.0,1436,21
4100.0,3537,64
3100.0,2534,44
2850.0,2137,39
1750.0,1226,17
4050.0,3436,63
1750.0,1227,17
2150.0,1730,25
3450.0,2737,51
1750.0,1327,17
2350.0,1728,29
3050.0,2638,43
2300.0,1735,28
2850.0,2428,39
2400.0,1835,30
2850.0,2426,39
2900.0,2227,40
2350.0,1831,29
3850.0,3037,59
1800.0,1432,18
2050.0,1536,23
1750.0,1229,17
2250.0,1638,27
1750.0,1228,17
2350.0,2038,29
2300.0,1735,28
1750.0,1337,17
2350.0,1935,29
2250.0,2028,27
2050.0,1535,23
2250.0,1638,27
1750.0,1336,17
1950.0,1433,21
2850.0,2334,39
2300.0,1736,28
2450.0,1929,31
2600.0,1934,34
2100.0,1528,24
2550.0,2034,33
2550.0,1937,33
2000.0,1535,22
1850.0,1328,19
3450.0,2838,51
3200.0,2637,46
