20.2,24,86
38.6,42,178
19.8,25,84
29.4,35,132
23.6,56,103
21.4,26,92
29.0,33,130
13.4,35,52
17.0,29,70
27.0,32,120
22.0,31,95
8.6,14,28
16.8,22,69
50.0,55,235
19.6,41,83
9.2,15,31
47.2,52,221
11.6,25,43
38.4,43,177
31.0,37,140
16.8,22,69
35.8,40,164
18.0,29,75
33.4,38,152
12.8,25,49
14.8,28,59
33.4,38,152
18.4,30,77
34.6,40,158
30.0,38,135
18.6,34,78
32.6,38,148
18.8,31,79
16.0,41,65
7.8,15,24
15.2,20,61
14.6,45,58
10.8,17,39
38.4,44,177
49.0,55,230
37.2,42,171
21.0,26,90
7.2,14,21
25.6,30,113
30.8,36,139
28.6,34,128
38.2,43,176
16.4,22,67
22.4,29,97
32.8,37,149
24.8,29,109
23.2,35,101
15.8,21,64
11.4,17,42
8.2,14,26
22.2,28,96
43.4,48,202
20.6,26,88
35.2,39,161
69.8,75,334
11.0,17,40
12.6,17,48
15.6,21,63
22.0,27,95
42.8,49,199
22.0,26,95
37.6,43,173
32.4,40,147
27.2,33,121
14.8,21,59
22.6,34,98
15.8,21,64
18.6,24,78
25.0,30,110
18.2,22,76
27.6,33,123
14.4,19,57
27.6,34,123
32.8,36,149
19.0,25,80
18.4,23,77
14.0,19,55
21.6,27,93
56.6,61,268
18.8,23,79
25.8,31,114
10.2,16,36
15.0,33,60
22.2,32,96
7.8,13,24
18.8,24,79
25.4,30,112
5.8,11,14
18.6,31,78
16.0,37,65
10.8,18,39
23.8,28,104
25.0,30,110
20.8,35,89
17.4,23,72
10.8,20,39
29.0,34,130
21.2,48,91
17.8,61,74
34.4,39,157
47.2,52,221
23.6,29,103
28.0,34,125
36.6,41,168
9.6,14,33
46.0,50,215
20.6,26,88
38.0,43,175
27.4,33,122
8.8,13,29
25.4,29,112
22.0,37,95
30.6,35,138
33.0,39,150
8.6,13,28
33.2,37,151
28.6,33,128
57.0,63,270
29.8,52,134
49.6,54,233
20.0,24,85
15.4,20,62
20.0,26,85
56.2,61,266
30.6,35,138
34.0,54,155
31.0,36,140
23.4,29,102
39.6,44,183
29.8,35,134
28.4,32,127
48.6,53,228
22.0,29,95
45.8,52,214
